id,longitude,latitude,date,time
211,153.00755,-27.437618,12/18/2021,10:40
212,152.94939,-27.415333,12/18/2021,15:04
213,153.00821,-27.502918,12/18/2021,0:00
214,152.93825,-27.54988,12/18/2021,10:55
215,153.01186,-27.481504,12/18/2021,8:20
216,153.01646,-27.47543,12/18/2021,19:46
217,153.01231,-27.481268,12/18/2021,9:00
218,153.03653,-27.487274,12/18/2021,18:43
219,153.03658,-27.56824,12/18/2021,8:30
220,153.02693,-27.589272,12/18/2021,13:00
221,153.03357,-27.617855,12/18/2021,9:40
222,153.03995,-27.663662,12/18/2021,9:50
223,153.08223,-27.562614,12/18/2021,11:00
224,153.08223,-27.562614,12/18/2021,11:00
225,153.08109,-27.562565,12/18/2021,11:05
226,152.9834,-27.737131,12/18/2021,11:05
227,153.09944,-27.471172,12/18/2021,7:30
228,153.05397,-27.45089,12/18/2021,17:35
229,153.44078,-27.40356,12/18/2021,16:30
230,153.44078,-27.40356,12/18/2021,16:30
231,152.36374,-26.587864,12/18/2021,0:00
232,153.13417,-26.80499,12/18/2021,9:00
233,153.13411,-26.803734,12/18/2021,13:19
234,153.13448,-26.805067,12/18/2021,12:30
235,152.3531,-24.86517,12/18/2021,21:45
236,152.35147,-24.865921,12/18/2021,23:20
237,149.18857,-21.126799,12/18/2021,9:52
238,146.82173,-19.258762,12/18/2021,18:30
239,146.82074,-19.259512,12/18/2021,17:00
240,146.80644,-19.24097,12/18/2021,15:20
241,146.81499,-19.250294,12/18/2021,18:35
242,146.81499,-19.250294,12/18/2021,11:30
243,146.8201,-19.260544,12/18/2021,20:05
244,146.81738,-19.259674,12/18/2021,7:40
245,146.81738,-19.259674,12/18/2021,7:40
246,146.82034,-19.257307,12/18/2021,20:30
247,146.81679,-19.315525,12/18/2021,11:35
248,146.79091,-19.271984,12/18/2021,8:45
249,146.73935,-19.269768,12/18/2021,15:30
250,146.71162,-19.318285,12/18/2021,9:50
251,146.71162,-19.318285,12/18/2021,9:50
252,145.76013,-16.907965,12/18/2021,12:45
253,145.77196,-16.929111,12/18/2021,13:15
254,145.75974,-16.908073,12/18/2021,11:45
255,145.76602,-16.924362,12/18/2021,14:20
256,145.77357,-16.934269,12/18/2021,12:30
257,145.77333,-16.919542,12/18/2021,9:15
258,145.46547,-16.501669,12/18/2021,0:00
259,153.0308,-27.468573,12/17/2021,17:30
260,153.02513,-27.470469,12/17/2021,17:30
261,153.02394,-27.469574,12/17/2021,10:45
262,153.05434,-27.469017,12/17/2021,20:30
263,153.03986,-27.455223,12/17/2021,0:00
264,153.03444,-27.458208,12/17/2021,0:10
265,153.03444,-27.458208,12/17/2021,1:50
266,153.04369,-27.448093,12/17/2021,15:35
267,153.0441,-27.447796,12/17/2021,13:00
268,153.04025,-27.453476,12/17/2021,13:46
269,153.04025,-27.453476,12/17/2021,13:46
270,153.06555,-27.43387,12/17/2021,18:15
271,153.072,-27.385284,12/17/2021,8:00
272,152.99023,-27.423086,12/17/2021,17:25
273,152.97417,-27.411667,12/17/2021,13:36
274,153.00821,-27.502918,12/17/2021,0:00
275,152.97737,-27.602468,12/17/2021,16:05
276,152.96825,-27.624527,12/17/2021,11:30
277,152.96867,-27.626055,12/17/2021,11:30
278,153.01613,-27.53378,12/17/2021,6:45
279,153.06506,-27.590954,12/17/2021,18:45
280,153.02394,-27.577314,12/17/2021,17:00
281,153.02394,-27.577314,12/17/2021,21:30
282,153.06519,-27.559843,12/17/2021,19:20
283,153.06519,-27.559843,12/17/2021,19:20
284,153.0453,-27.66372,12/17/2021,11:50
285,153.04501,-27.665384,12/17/2021,10:20
286,153.0482,-27.662395,12/17/2021,18:30
287,153.08223,-27.562614,12/17/2021,12:30
288,153.08324,-27.56338,12/17/2021,14:00
289,153.08223,-27.562614,12/17/2021,12:35
290,153.07777,-27.551924,12/17/2021,18:30
